,Trial,Instruction,Food,Choice,RT,Liking,Taste,Health,preLiking,subjIdx
47,48,Decrease Desire,TofuDessert_4_1pck.jpg,-2.0,0.6962795956787886,1,1,5,,104
48,49,Decrease Desire,Celery_2_1stalk.jpg,-2.0,0.6027762619851273,5,1,6,1.0,104
49,50,Decrease Desire,YorkPeppermintPatties_4_12.jpg,-2.0,0.5708756780441036,4,6,1,5.0,104
50,51,Decrease Desire,Almonds_2_10.jpg,-2.0,1.0869032325390435,1,2,6,1.0,104
51,52,Decrease Desire,MangoChunks_2_3.jpg,2.0,1.6183459433741518,1,2,6,1.0,104
52,53,Decrease Desire,HersheysKisses_2_5.jpg,2.0,0.6131043511595635,6,5,1,6.0,104
53,54,Decrease Desire,FibreBrownies_3_2bars.jpg,-1.0,1.7330192084300506,1,5,4,2.0,104
54,55,Decrease Desire,AppleChips_5_1c..jpg,-2.0,0.9663640028484224,1,1,1,1.0,104
55,56,Decrease Desire,FrozenPeaches_2_3Slices.jpg,2.0,0.863326302729547,1,1,6,4.0,104
56,57,Decrease Desire,HersheysKisses_3_15.jpg,2.0,1.1500900065620954,6,5,1,4.0,104
57,58,Decrease Desire,FrozenOkra_2_2pc.jpg,-2.0,0.6123377130643348,1,1,6,1.0,104
58,59,Decrease Desire,CornFlakes_6_2cups.jpg,-2.0,0.5650350874493597,1,1,6,1.0,104
59,60,Decrease Desire,BabyFoodCarrots_5_1jar.jpg,-2.0,1.2583310952832107,1,1,1,1.0,104
60,61,Focus on Healthiness,FrozenPeas_2_2tbsp.jpg,-2.0,1.4103164570333317,1,1,1,1.0,104
61,62,Focus on Healthiness,PopTartStrawberry_5_3tarts.jpg,-2.0,0.8203823097901477,1,1,1,1.0,104
62,63,Focus on Healthiness,DriedApricots_2_2.jpg,-2.0,0.9391687350798748,1,1,1,1.0,104
63,64,Focus on Healthiness,Strawberries_2_0.5c.jpg,2.0,1.7489449816712297,1,1,6,2.0,104
64,65,Focus on Healthiness,CheeseNips_5_1c.jpg,-2.0,1.0484957756489166,1,1,1,1.0,104
65,66,Focus on Healthiness,SlicedTurkey_2_0.5slice.jpg,-1.0,1.2513033417890256,1,5,3,5.0,104
66,67,Focus on Healthiness,FrozenCorn_2_0.5cup.jpg,-2.0,0.8854989362880588,1,1,6,3.0,104
67,68,Focus on Healthiness,Asparagus_3_7.jpg,-2.0,1.412586150563584,1,1,6,1.0,104
68,69,Focus on Healthiness,Asparagus_6_FullPack.jpg,-2.0,2.5272209269096493,1,1,6,1.0,104
69,70,Focus on Healthiness,AlmondMilk_4_1glass.jpg,-2.0,0.9796103916087304,1,1,1,4.0,104
70,71,Focus on Healthiness,Avocado_2_2pc.jpg,-2.0,1.3433728997260914,1,1,6,3.0,104
71,72,Focus on Healthiness,LuckyCharms_6_1cup.jpg,-2.0,2.1282053255854407,1,2,1,1.0,104
72,73,Focus on Healthiness,CheeseNips_2_5nips.jpg,-2.0,1.2422841538827925,1,1,1,1.0,104
73,74,Focus on Healthiness,MnMPlain_3_1tbsp.jpg,-2.0,2.0509003222214237,1,4,1,1.0,104
74,75,Focus on Healthiness,Beets_5_1can.jpg,-2.0,1.8634759810520336,1,1,6,1.0,104
75,76,Respond Naturally,BBQCrisps_6_1cup.jpg,-2.0,1.2214720249794482,1,1,1,1.0,104
76,77,Respond Naturally,IcebergLettuce_4_8leaves.jpg,2.0,2.247981623495434,3,4,6,5.0,104
77,78,Respond Naturally,PureFit_4_2Bars.jpg,-1.0,1.2029267385914864,1,2,6,1.0,104
78,79,Respond Naturally,RiceKrispiesCereal_3_2tbsp.jpg,-2.0,1.026092209827766,1,1,1,1.0,104
79,80,Respond Naturally,OatBran_2_2T.jpg,-2.0,1.2296447463486402,4,1,6,1.0,104
80,81,Respond Naturally,Reese_4_5Cup.jpg,2.0,1.4751066422395525,1,1,1,1.0,104
81,82,Respond Naturally,Orange_1_0.25orange.jpg,-2.0,0.6539924767384946,1,1,6,2.0,104
82,83,Respond Naturally,MnMPeanuts_4_45.jpg,-2.0,2.8630067038757256,1,1,1,3.0,104
83,84,Respond Naturally,BrusselsSprouts_4_1Box.jpg,2.0,1.8607381507499667,4,1,5,5.0,104
84,85,Respond Naturally,SevenGrain_1_1.jpg,-2.0,0.6826411922702391,1,1,5,1.0,104
85,86,Respond Naturally,Smartfood_4_100Chips.jpg,-1.0,1.940449696394353,1,4,6,5.0,104
86,87,Respond Naturally,Butternut_7_2cups.jpg,-2.0,2.6156639929831726,1,2,6,1.0,104
87,88,Respond Naturally,FruitCrisps_3_2bars.jpg,-2.0,1.002619798251544,1,1,1,1.0,104
88,89,Respond Naturally,KashiBars_4_3bars.jpg,-2.0,0.9662730554482549,1,1,6,1.0,104
89,90,Respond Naturally,Cheerios_5_2c.jpg,-2.0,0.79846170601013,1,1,5,1.0,104
90,91,Decrease Desire,FrozenBlueberries_3_1cup.jpg,-2.0,1.5747405148140388,1,1,5,1.0,104
91,92,Decrease Desire,Almonds_4_40.jpg,-1.0,1.0747607570265243,1,5,6,1.0,104
92,93,Decrease Desire,RitzCrackers_5_15Crackers.jpg,-2.0,2.258465378123219,1,1,1,2.0,104
93,94,Decrease Desire,FrozenPeaches_5_1.5Cups.jpg,-2.0,1.4774253732430225,1,1,1,5.0,104
94,95,Decrease Desire,RitzCrackers_2_3Crackers.jpg,-2.0,1.123791953406908,1,1,1,1.0,104
95,96,Decrease Desire,Mars_4_2Bars.jpg,-2.0,0.7052121127126156,1,1,1,1.0,104
96,97,Decrease Desire,Pringles_2_3Chips.jpg,-1.0,1.2347606087714669,5,6,1,3.0,104
97,98,Decrease Desire,Prunes_5_1c.jpg,-2.0,3.2240299561926804,1,1,1,1.0,104
98,99,Decrease Desire,FibreBrownies_2_1bar.jpg,-2.0,1.3655569373477192,1,1,3,2.0,104
99,100,Decrease Desire,FrozenBroccoli_6_0.5bag.jpg,-1.0,1.997959813223133,4,1,6,6.0,104
100,101,Decrease Desire,Bananas_3_1.jpg,-2.0,1.0325126969946723,1,1,5,1.0,104
101,102,Decrease Desire,Mackerel_1_1fish.jpg,-2.0,2.4383425107516814,1,1,1,1.0,104
102,103,Decrease Desire,RaisinBran_7_2cup.jpg,1.0,1.302721123345691,4,5,2,4.0,104
103,104,Decrease Desire,RaisinBran_3_2tbsp.jpg,1.0,0.8476628229254857,1,6,2,6.0,104
104,105,Decrease Desire,ClamJuice_1_1T.jpg,-2.0,1.2233194830987486,1,4,1,1.0,104
105,106,Respond Naturally,Triscuit_2_2crackers.jpg,-2.0,0.7937019354394579,1,1,1,1.0,104
106,107,Respond Naturally,ClifBar_4_2bars.jpg,-2.0,0.7215011053376656,1,2,6,1.0,104
107,108,Respond Naturally,HoneyNutCheerios_2_2tbsp.jpg,-2.0,0.8339226382595369,1,1,1,1.0,104
108,109,Respond Naturally,Tempeh_4_.5pack.jpg,-2.0,0.7000514893443324,1,1,1,1.0,104
109,110,Respond Naturally,Doritos_5_20chips.jpg,1.0,1.5065453616552986,4,5,1,4.0,104
110,111,Respond Naturally,KashiBars_1_0.5bar.jpg,-2.0,0.9245706798137691,1,1,5,1.0,104
111,112,Respond Naturally,Doritos_2_3chips.jpg,1.0,0.7856543736561434,1,4,1,2.0,104
112,113,Respond Naturally,ClifBar_2_0.5bar.jpg,-2.0,0.9045514183526392,1,2,6,1.0,104
113,114,Respond Naturally,ChipsAhoy_2_.5cookie.jpg,2.0,1.7540437380012008,6,5,1,6.0,104
114,115,Respond Naturally,PureFit_2_0.5Bars.jpg,-2.0,1.6627351161296249,1,1,1,1.0,104
115,116,Respond Naturally,BrusselsSprouts_2_3.jpg,1.0,0.9452325601960184,1,5,6,5.0,104
116,117,Respond Naturally,EnglishCucumber_2_2pc.jpg,1.0,1.033721242518368,6,4,6,4.0,104
117,118,Respond Naturally,OatmealSquares_7_2Cups.jpg,-2.0,0.7485791963663359,1,2,6,1.0,104
118,119,Respond Naturally,AllBranCereal_2_1tbsp.jpg,-2.0,0.7756550065823831,1,1,1,1.0,104
119,120,Respond Naturally,GreenApple_4_1.jpg,-2.0,1.1082020298090356,1,1,6,1.0,104
120,121,Focus on Healthiness,Cauliflower_6_0.5bag.jpg,1.0,1.7297687655263871,1,1,6,4.0,104
121,122,Focus on Healthiness,MnMPlain_5_1bag.jpg,-2.0,0.6791686552496685,1,5,1,1.0,104
122,123,Focus on Healthiness,LaysClassic_3_8Chips.jpg,-1.0,1.8512354305967165,5,1,1,5.0,104
123,124,Focus on Healthiness,Shreddies_5_2c.jpg,-2.0,0.6990490722528193,1,1,1,2.0,104
124,125,Focus on Healthiness,Strawberries_3_0.5bag.jpg,-2.0,0.951834657058498,1,2,1,1.0,104
125,126,Focus on Healthiness,GreenBeans_4_.5pck.jpg,-2.0,0.6815549553211895,1,1,6,1.0,104
126,127,Focus on Healthiness,GreenBeans_2_9beans.jpg,-2.0,1.2299269968971205,1,1,6,1.0,104
127,128,Focus on Healthiness,Shreddies_2_1T.jpg,-2.0,1.6552517703385092,1,1,1,1.0,104
128,129,Focus on Healthiness,Fritos_2_5chips.jpg,-2.0,2.488567712476652,6,1,1,1.0,104
129,130,Focus on Healthiness,OikosYogurt_3_2spoonfuls.jpg,-1.0,0.7764504399383441,1,1,6,1.0,104
130,131,Focus on Healthiness,JuniorMints_4_1box.jpg,-1.0,0.9560410455014791,5,1,1,2.0,104
131,132,Focus on Healthiness,AlmondMilk_2_0.25glass.jpg,-1.0,1.0384881406316708,1,1,6,5.0,104
132,133,Focus on Healthiness,Beets_2_5pc.jpg,-2.0,0.7988622737102559,1,1,1,1.0,104
133,134,Focus on Healthiness,IceCreamChocolate_1_1tsp.jpg,2.0,1.093739682884916,6,5,6,5.0,104
134,135,Focus on Healthiness,Fritos_5_1c.jpg,,,5,1,1,1.0,104
135,136,Decrease Desire,Aero_3_1bar.jpg,2.0,0.9221265041232982,6,5,1,6.0,104
136,137,Decrease Desire,MangoChunks_5_1cup.jpg,-2.0,1.8859684985582132,1,2,6,2.0,104
137,138,Decrease Desire,Bananas_2_0.5.jpg,-2.0,0.8695834267055034,1,1,6,3.0,104
138,139,Decrease Desire,WaterChestnuts_3_8pc.jpg,-2.0,1.4355262775279698,1,1,6,1.0,104
139,140,Decrease Desire,VegetableThins_2_5Chips.jpg,-2.0,0.91591642190906,1,2,6,1.0,104
140,141,Decrease Desire,YorkPeppermintPatties_2_3.jpg,1.0,1.1127787651857943,1,4,5,4.0,104
141,142,Decrease Desire,Snickers_3_2Bars.jpg,-2.0,0.9532208208547672,1,1,1,1.0,104
142,143,Decrease Desire,Caramilk_5_2bars.jpg,1.0,0.7431711048484431,6,6,1,1.0,104
143,144,Decrease Desire,NatureValleyChocolate_4_2bars.jpg,1.0,1.4426814714170175,5,4,1,4.0,104
144,145,Decrease Desire,AppleChips_2_3chips.jpg,-2.0,0.6608768241494545,1,1,1,1.0,104
145,146,Decrease Desire,Caramilk_2_2pc.jpg,1.0,0.7638555082448875,5,5,1,4.0,104
146,147,Decrease Desire,Snickers_2_1Bar.jpg,-2.0,0.9784657088384848,1,1,1,1.0,104
147,148,Decrease Desire,ProMax_2_0.25bar.jpg,-2.0,1.1414611226937268,1,1,6,1.0,104
148,149,Decrease Desire,Mackerel_3_4fish.jpg,-2.0,0.6751262002071599,1,1,6,1.0,104
149,150,Decrease Desire,BabyFoodCarrots_3_2Tbsp.jpg,-2.0,0.6363483963868929,1,1,6,1.0,104
150,151,Respond Naturally,IceCreamVanilla_4_3scoops.jpg,1.0,1.8481346660119016,6,6,1,5.0,104
151,152,Respond Naturally,BabyFoodSweetPotatos_5_1jar.jpg,-2.0,0.6628542885882779,1,2,1,1.0,104
152,153,Respond Naturally,GreenPepper_2_2pc.jpg,-2.0,1.4976062872883629,1,1,6,3.0,104
153,154,Respond Naturally,DriedHerring_3_4fish.jpg,-2.0,0.5942129514805856,1,1,1,1.0,104
154,155,Respond Naturally,MnMPeanuts_2_4.jpg,-2.0,0.8007160040651797,1,5,1,1.0,104
155,156,Respond Naturally,Smartfood_2_8Chips.jpg,-1.0,1.0682159655771102,6,4,5,6.0,104
156,157,Respond Naturally,GreenPepper_6_1pepper.jpg,-2.0,0.5603471624635858,1,1,6,1.0,104
157,158,Respond Naturally,GreenApple_2_1slice.jpg,-2.0,0.9088496094991568,1,1,6,2.0,104
158,159,Respond Naturally,Tempeh_2_1Tbsp.jpg,-2.0,0.7618144661682891,1,1,1,1.0,104
159,160,Respond Naturally,Butternut_3_0.3cup.jpg,-2.0,0.5761477761188871,1,2,6,1.0,104
160,161,Respond Naturally,ChipsAhoy_4_2cookies.jpg,2.0,1.9813860041322189,6,1,1,6.0,104
161,162,Respond Naturally,HoneyNutCheerios_5_2cup.jpg,-2.0,0.5566020683545503,1,1,3,1.0,104
162,163,Respond Naturally,SunChips_4_20Chips.jpg,1.0,1.9148683885650823,6,4,1,4.0,104
163,164,Respond Naturally,SunChips_2_3Chips.jpg,1.0,0.6103682314715115,1,2,1,4.0,104
164,165,Respond Naturally,Mentos_5_1tube.jpg,1.0,0.8747092676858301,6,5,6,4.0,104
165,166,Focus on Healthiness,IceCreamChocolate_4_3scoops.jpg,1.0,1.6392458835543948,6,6,1,5.0,104
166,167,Focus on Healthiness,AllBranBar_1_.25bar.jpg,-2.0,0.8801299036713317,1,1,6,1.0,104
167,168,Focus on Healthiness,CannedArtichoke_5_1can.jpg,-2.0,1.8253020223419296,1,1,4,1.0,104
168,169,Focus on Healthiness,LaysClassic_4_16Chips.jpg,-1.0,0.9569354090999695,1,5,1,4.0,104
169,170,Focus on Healthiness,VanillaGreekYogurt_4_1cup.jpg,-1.0,1.0180936855103937,1,1,6,1.0,104
170,171,Focus on Healthiness,Spinach_2_.5c.jpg,-2.0,1.0686561623879245,1,1,6,6.0,104
171,172,Focus on Healthiness,SkimMilk_4_1glass.jpg,-2.0,1.151245808294334,1,1,5,2.0,104
172,173,Focus on Healthiness,Cauliflower_2_3chunks.jpg,1.0,1.625663930259179,1,1,6,4.0,104
173,174,Focus on Healthiness,FrozenPeas_6_0.5bag.jpg,-2.0,2.0089014409604715,1,1,6,2.0,104
174,175,Focus on Healthiness,SkittlesSour_6_0.5pack.jpg,1.0,0.7094874957329012,6,6,1,6.0,104
175,176,Focus on Healthiness,OikosYogurt_6_1c.jpg,-2.0,0.7329251249175286,1,1,1,1.0,104
176,177,Focus on Healthiness,SpeltCakes_5_4.jpg,-2.0,2.677144719265925,1,1,4,1.0,104
177,178,Focus on Healthiness,Spinach_4_.5box.jpg,-2.0,1.5235499592017732,1,1,6,1.0,104
178,179,Focus on Healthiness,Skittles_6_0.75pack.jpg,2.0,1.3091447466285902,6,6,1,6.0,104
179,180,Focus on Healthiness,RedPepper_5_1pepper.jpg,-2.0,0.5302455693818047,1,1,6,1.0,104
180,181,Focus on Healthiness,SlicedTurkey_2_0.5slice.jpg,-1.0,2.1214928944100397,1,5,3,5.0,104
181,182,Focus on Healthiness,CannedArtichoke_5_1can.jpg,-2.0,1.3546714746189537,1,1,4,1.0,104
182,183,Focus on Healthiness,FrozenPeas_2_2tbsp.jpg,-2.0,1.7641751070987084,1,1,1,1.0,104
183,184,Focus on Healthiness,CheeseNips_2_5nips.jpg,-2.0,0.804116410385177,1,1,1,1.0,104
184,185,Focus on Healthiness,OikosYogurt_3_2spoonfuls.jpg,-2.0,1.1945635693773509,1,1,6,1.0,104
185,186,Focus on Healthiness,SkittlesSour_6_0.5pack.jpg,1.0,0.6005447720599477,6,6,1,6.0,104
186,187,Focus on Healthiness,GreenBeans_4_.5pck.jpg,-2.0,0.638898344754125,1,1,6,1.0,104
187,188,Focus on Healthiness,Beets_2_5pc.jpg,-2.0,0.7960657124858699,1,1,1,1.0,104
188,189,Focus on Healthiness,JuniorMints_4_1box.jpg,1.0,0.7545315467723412,5,1,1,2.0,104
189,190,Focus on Healthiness,FrozenCorn_4_2cups.jpg,-2.0,0.9888761923648416,1,1,5,1.0,104
190,191,Focus on Healthiness,CheeseNips_5_1c.jpg,-2.0,0.8511943759731366,1,1,1,1.0,104
191,192,Focus on Healthiness,JuniorMints_2_9pc.jpg,1.0,1.0709546511716326,1,4,1,2.0,104
192,193,Focus on Healthiness,GreenBeans_2_9beans.jpg,-2.0,1.098356617578247,1,1,6,1.0,104
193,194,Focus on Healthiness,SpeltCakes_2_0.5.jpg,-2.0,0.6466836131075979,1,2,1,1.0,104
194,195,Focus on Healthiness,Spinach_2_.5c.jpg,-2.0,0.6749876408430282,1,1,6,6.0,104
195,196,Decrease Desire,CornFlakes_6_2cups.jpg,-2.0,1.1294871421996504,1,1,6,1.0,104
196,197,Decrease Desire,Broccoli_4_1.5c.jpg,1.0,0.7601380689884536,4,1,6,6.0,104
197,198,Decrease Desire,MangoChunks_2_3.jpg,-2.0,1.6236756319704,1,2,6,1.0,104
198,199,Decrease Desire,ProMax_2_0.25bar.jpg,-2.0,3.822365476247796,1,1,6,1.0,104
199,200,Decrease Desire,MangoChunks_5_1cup.jpg,-2.0,1.2062689841986869,1,2,6,2.0,104
200,201,Decrease Desire,YorkPeppermintPatties_2_3.jpg,1.0,1.3025315308041172,1,4,5,4.0,104
201,202,Decrease Desire,Almonds_2_10.jpg,-2.0,2.015379803742689,1,2,6,1.0,104
202,203,Decrease Desire,FrozenPeaches_2_3Slices.jpg,-2.0,2.0945202909642835,1,1,6,4.0,104
203,204,Decrease Desire,Mars_4_2Bars.jpg,-2.0,2.089446623576805,1,1,1,1.0,104
204,205,Decrease Desire,BabyFoodCarrots_5_1jar.jpg,-2.0,1.3523709901128314,1,1,1,1.0,104
205,206,Decrease Desire,WaterChestnuts_5_0.5can.jpg,-2.0,0.640762053670187,1,1,6,1.0,104
206,207,Decrease Desire,FrozenOkra_5_0.5box.jpg,-2.0,0.6630675445485394,1,1,6,1.0,104
207,208,Decrease Desire,VegetableThins_2_5Chips.jpg,,,1,2,6,1.0,104
208,209,Decrease Desire,RaisinBran_3_2tbsp.jpg,1.0,0.9406367230258184,1,6,2,6.0,104
209,210,Decrease Desire,Bananas_3_1.jpg,-2.0,1.0018637089087858,1,1,5,1.0,104
210,211,Respond Naturally,FruitCrisps_1_0.5bar.jpg,-2.0,0.914064117059752,1,1,1,1.0,104
211,212,Respond Naturally,PureFit_2_0.5Bars.jpg,-2.0,0.7270796875964152,1,1,1,1.0,104
212,213,Respond Naturally,Smartfood_2_8Chips.jpg,-1.0,0.9895781124141648,6,4,5,6.0,104
213,214,Respond Naturally,Reese_1_1Cup.jpg,-1.0,1.1204514184137224,1,1,1,1.0,104
214,215,Respond Naturally,Mentos_5_1tube.jpg,1.0,2.662447163558681,6,5,6,4.0,104
215,216,Respond Naturally,Smartfood_4_100Chips.jpg,-1.0,1.3559629846931784,1,4,6,5.0,104
216,217,Respond Naturally,Mentos_2_3pc.jpg,1.0,0.5669110557282693,6,5,1,3.0,104
217,218,Respond Naturally,Cheerios_5_2c.jpg,-2.0,0.9547022085680509,1,1,5,1.0,104
218,219,Respond Naturally,Tuna_4_1can.jpg,-2.0,1.7782619752615574,1,1,6,2.0,104
219,220,Respond Naturally,EnglishCucumber_5_0.5cuc.JPG,1.0,0.5385933431025478,5,4,6,4.0,104
220,221,Respond Naturally,OatBran_4_1bowl.jpg,-2.0,0.5996837653437979,1,4,6,1.0,104
221,222,Respond Naturally,Reese_4_5Cup.jpg,-2.0,0.5419085040630307,1,1,1,1.0,104
222,223,Respond Naturally,MnMPeanuts_2_4.jpg,1.0,1.9391835603601064,1,5,1,1.0,104
223,224,Respond Naturally,SevenGrain_3_5.jpg,-2.0,0.6965601356132538,1,1,6,3.0,104
224,225,Respond Naturally,OatmealSquares_3_2tbsp.jpg,-2.0,1.1629420998651767,1,1,3,1.0,104
225,226,Focus on Healthiness,Raspberries_4_.5c.jpg,-2.0,0.7216405200015288,1,2,6,1.0,104
226,227,Focus on Healthiness,Skittles_6_0.75pack.jpg,2.0,0.6754110166657483,6,6,1,6.0,104
227,228,Focus on Healthiness,Fritos_5_1c.jpg,2.0,1.083631977220648,5,1,1,1.0,104
228,229,Focus on Healthiness,MnMPlain_5_1bag.jpg,-2.0,1.4920165860676209,1,5,1,1.0,104
229,230,Focus on Healthiness,OikosYogurt_6_1c.jpg,-2.0,0.5622673214893439,1,1,1,1.0,104
230,231,Focus on Healthiness,Strawberries_2_0.5c.jpg,-2.0,3.000652027272736,1,1,6,2.0,104
231,232,Focus on Healthiness,VanillaGreekYogurt_2_1spoon.jpg,-2.0,1.7107690272532636,1,1,1,1.0,104
232,233,Focus on Healthiness,Avocado_2_2pc.jpg,-2.0,0.9693071062720264,1,1,6,3.0,104
233,234,Focus on Healthiness,DriedApricots_5_0.75cup.jpg,-2.0,0.7203170785578551,1,2,3,1.0,104
234,235,Focus on Healthiness,Raspberries_5_.5bag.jpg,-2.0,1.232006242578791,1,1,1,1.0,104
235,236,Focus on Healthiness,AlmondMilk_2_0.25glass.jpg,-2.0,2.540299105749,1,1,6,5.0,104
236,237,Focus on Healthiness,Spinach_4_.5box.jpg,-2.0,1.164661262278969,1,1,6,1.0,104
237,238,Focus on Healthiness,DriedApricots_2_2.jpg,-2.0,0.5792702084218035,1,1,1,1.0,104
238,239,Focus on Healthiness,Cauliflower_6_0.5bag.jpg,-2.0,0.6276545093642198,1,1,6,4.0,104
239,240,Focus on Healthiness,SpeltCakes_5_4.jpg,-2.0,1.9069362929149063,1,1,4,1.0,104
240,241,Respond Naturally,Orange_1_0.25orange.jpg,-2.0,0.6326968155844952,1,1,6,2.0,104
241,242,Respond Naturally,BrusselsSprouts_2_3.jpg,1.0,0.9388197707667132,1,5,6,5.0,104
242,243,Respond Naturally,Butternut_3_0.3cup.jpg,-2.0,0.8949979501194321,1,2,6,1.0,104
243,244,Respond Naturally,PureFit_4_2Bars.jpg,-2.0,0.7361710061959457,1,2,6,1.0,104
244,245,Respond Naturally,SunChips_4_20Chips.jpg,-2.0,0.7905358825955773,6,4,1,4.0,104
245,246,Respond Naturally,GreenApple_2_1slice.jpg,-2.0,0.6505775302357506,1,1,6,2.0,104
246,247,Respond Naturally,HoneyNutCheerios_2_2tbsp.jpg,-2.0,1.486249551679066,1,1,1,1.0,104
247,248,Respond Naturally,KashiBars_4_3bars.jpg,-2.0,0.6385308488388546,1,1,6,1.0,104
248,249,Respond Naturally,MnMPeanuts_4_45.jpg,-2.0,0.7452027385734254,1,1,1,3.0,104
